UNITNO,EASTING,NORTHING
43-05-001174,415533,536990
43-05-002403,415106,535190
43-05-003482,415224,535070
41-10-001325,410805,550968
41-10-001326,410833,550979
41-10-001327,410825,550990
42-15-002023,426348,548866
42-15-002024,426391,548889
42-15-002025,426361,548898
42-15-002026,426383,548910
42-15-002027,426359,548924
42-15-002028,426408,548919
42-15-002029,426360,548954
42-15-002030,426417,548949
42-15-002031,426370,548969
42-15-002032,426402,548966
42-15-002033,426393,548982
42-15-002034,426420,548966
42-15-002035,426422,549006
42-15-002036,426442,548988
42-15-002037,426438,549020
42-15-002038,426461,549006
42-15-002039,426487,549017
42-15-002040,426485,549035
42-15-002041,426456,549044
41-11-002524,419346,552673
41-11-002385,419350,552642
41-11-002386,419339,552658
41-11-002391,419273,552681
41-11-002393,419261,552704
41-11-002383,419386,552656
41-11-002523,419362,552671
43-05-000650,414674,531261
43-05-005856,414730,531389
43-05-005857,414735,531418
43-05-005418,414844,531260
47-09-000325,436371,532311
47-09-000327,436392,532295
47-09-000326,436364,532296
47-09-000329,436317,532391
44-16-000352,426818,537179
44-04-000430,424007,539321
44-04-000431,423977,539344
44-04-000432,423948,539368
44-04-000433,423917,539392
44-04-000434,423897,539420
44-04-000435,423872,539439
44-04-000436,423844,539460
47-10-004122,426588,525545
47-10-004123,426606,525548
47-10-004124,426591,525527
47-10-004125,426564,525503
47-10-004126,426551,525487
47-10-004127,426528,525495
47-10-004128,426467,525587
47-10-004129,426469,525614
47-10-004131,426467,525667
47-10-004132,426451,525550
47-10-004133,426435,525565
47-10-004134,426430,525587
47-10-004135,426436,525619
47-10-004136,426440,525638
47-10-004137,426345,525583
47-10-004138,426373,525597
47-10-004139,426391,525615
47-10-004140,426412,525635
47-10-004141,426423,525660
41-10-001990,409150,550471
41-10-001989,409129,550457
41-10-001988,409104,550457
41-10-005515,409181,550351
47-10-006740,427166,524991
47-10-006741,427135,525017
44-04-004736,424844,540254
44-04-004737,424868,540252
44-04-004738,424874,540242
44-04-004739,424854,540221
44-04-004740,424830,540204
44-04-004741,424806,540215
43-04-000672,412854,538444
43-04-000673,412892,538436
43-04-000674,412934,538432
43-04-000675,412974,538427
43-03-015769,420989,529277
44-06-000270,433399,537089
44-04-001892,418426,542111
45-10-000856,443883,538392
45-10-000857,443887,538337
41-10-002501,414839,552037
41-10-002521,413928,552386
41-10-002522,413959,552375
45-18-002746,441472,549209
45-18-002747,441503,549221
45-18-002748,441528,549237
45-18-002749,441549,549247
41-10-002542,414596,552155
46-27-000189,394886,525383
46-27-000190,394862,525400
46-27-000191,394839,525410
43-03-015778,420152,528109
44-10-000182,429436,542552
44-10-000183,429412,542546
44-04-001699,422780,542765
45-02-001190,442978,543781
43-03-015783,420069,528211
47-04-000689,428350,529853
46-20-000054,417572,520392
46-20-000055,417550,520411
46-20-000056,417524,520423
46-20-000057,417502,520426
46-20-000058,417513,520439
42-00-003206,427063,551467
42-00-000387,426497,551150
44-02-000141,430840,544535
42-00-008478,427071,550425
42-00-008479,427052,550404
42-00-008480,427026,550395
42-00-001875,427450,550442
42-10-000689,424599,546786
42-10-000687,424495,546815
42-01-000059,431207,551712
42-01-000060,431255,551728
42-08-002711,425177,552035
42-08-002712,425142,552048
42-08-002713,425099,552050
45-17-000335,440442,538290
45-17-000336,440419,538285
45-17-000337,440405,538299
45-17-000338,440389,538314
45-17-000339,440354,538311
45-17-000340,440329,538306
45-17-000341,440305,538303
45-17-000342,440314,538323
45-17-000343,440317,538340
45-17-000344,440462,538332
45-17-000345,440512,538326
45-17-000346,440537,538320
47-10-006134,427610,523252
43-01-000831,399864,538761
43-01-000128,399809,538811
43-01-000740,399712,539185
47-10-006145,428289,522357
47-10-006146,428294,522334
47-10-006147,428309,522312
47-10-006148,428300,522298
47-10-006149,428286,522303
41-10-004556,410530,551061
41-10-004509,410551,551041
43-05-005642,416149,533411
43-05-005643,416153,533389
43-05-005644,416161,533350
47-10-006150,427232,525231
47-10-006151,427254,525220
47-10-006152,427251,525189
47-10-006153,427201,525155
47-10-006154,427209,525128
45-18-003040,440604,548771
47-20-003654,425311,534681
47-10-006166,427339,524310
43-05-005652,415877,533230
43-05-005653,415858,533213
43-05-005654,415829,533187
46-00-000693,404953,516092
44-00-000346,426917,543097
42-00-000386,426834,550384
42-00-008972,426749,550924
42-00-001453,427418,551654
42-00-001454,427389,551661
42-00-009031,427024,550933
42-15-002042,426502,549058
42-15-002043,426475,549067
42-15-002044,426519,549083
45-12-008711,443062,540532
45-12-008712,443089,540553
45-12-008046,443131,540652
45-15-008743,440645,540243
45-17-000950,440220,538211
45-18-002731,441671,549268
45-18-002732,441660,549250
45-18-002733,441646,549279
45-18-002734,441638,549261
47-19-002008,423327,526262
47-19-002009,423359,526269
47-19-002010,423202,526405
47-19-002011,423199,526435
47-19-002012,423266,526344
47-19-002013,423262,526367
47-19-002016,423212,526560
47-19-002017,423215,526538
47-19-002018,423217,526523
47-19-002019,423301,526532
47-19-002020,423275,526529
47-19-002021,423179,526513
47-19-002022,423191,526524
47-19-000507,423741,526014
47-19-001815,423600,526129
47-19-001064,423907,526078
47-08-001225,429537,532732
47-08-001466,429065,532927
41-10-005163,411079,551856
41-10-005164,411061,551855
41-10-005165,411051,551879
41-10-005166,411033,551895
47-10-006126,427905,524510
43-05-005640,416394,535560
47-10-006130,427631,524603
47-10-006131,426147,525487
47-10-006132,426168,525488
47-10-006133,426164,525466
44-05-001231,430491,538164
44-05-001395,430621,537813
44-05-001396,430664,537763
44-10-000871,428725,543190
44-10-000872,428714,543215
44-10-000873,428704,543234
44-10-000874,428833,543242
44-10-000875,428852,543242
47-10-006742,427118,525038
47-10-006743,427081,525029
47-10-006744,427118,524979
45-12-000348,442931,541038
43-03-015798,422887,532226
43-03-015799,422852,532246
43-03-015800,422813,532264
41-10-004632,410389,550953
43-03-015801,422770,532281
41-10-004633,410398,550935
43-03-015802,422745,532302
41-10-004634,410413,550918
41-10-004635,410434,550906
41-10-004636,410461,550906
41-06-000402,416709,547514
41-11-010871,419587,553543
41-11-005500,416615,552031
41-11-009532,420979,553047
41-11-010700,419336,552679
41-06-000956,416583,548369
43-03-015806,421007,529458
43-03-015807,421014,529434
45-22-000407,438547,544867
45-22-000408,438568,544853
45-22-000409,438594,544837
45-22-000410,438514,544856
45-22-000411,438518,544823
45-22-000412,438521,544796
45-22-000413,438527,544777
45-22-000414,438548,544797
45-22-000415,438563,544782
45-22-000417,438608,544779
45-22-000418,438626,544777
41-11-007001,418945,551834
45-22-000455,438246,545000
45-22-000456,438258,544983
45-22-000457,438280,544980
45-22-000458,438299,544969
45-22-000459,438308,544955
45-22-000460,438294,544944
45-22-000461,438274,544933
45-22-000462,438286,544920
45-22-000463,438233,544980
45-22-000464,438212,544955
44-00-003642,427236,544261
44-00-003643,427219,544238
44-00-003644,427200,544213
44-00-003645,427197,544183
42-01-000061,431286,551742
42-01-000062,431330,551749
42-01-000063,431376,551749
42-01-000064,431410,551776
42-01-000065,431455,551769
42-01-000066,431483,551800
42-01-000067,431488,551781
42-01-000068,431533,551820
42-01-000069,431526,551794
42-01-000055,431095,551628
44-10-001431,428975,542869
47-20-003629,426571,534236
47-20-003630,426554,534252
47-20-003631,426542,534267
47-20-003632,426521,534256
45-22-000101,437690,545588
45-22-000106,437690,545557
45-22-000104,437629,545545
45-22-000105,437657,545543
45-22-001191,437672,545534
45-22-000107,437690,545531
45-15-000521,438921,541344
45-15-000522,438888,541349
45-15-000523,438898,541367
42-15-002001,426248,548561
42-15-002002,426278,548586
42-15-002003,426254,548590
42-15-002004,426283,548615
42-15-002005,426259,548620
42-15-002006,426289,548644
42-15-002007,426265,548647
42-15-002008,426297,548672
42-15-002009,426274,548679
42-15-002010,426306,548701
42-15-002011,426281,548707
42-15-002012,426317,548729
42-15-002013,426288,548731
42-15-002014,426328,548757
42-15-002015,426297,548757
42-15-002016,426340,548784
42-15-002017,426309,548786
42-15-002018,426348,548812
42-15-002019,426321,548814
42-15-002020,426363,548840
42-15-002021,426335,548841
41-10-002523,413995,552363
41-10-002524,414031,552351
41-10-002525,414065,552340
42-00-009030,427032,550914
42-00-009029,427045,550917
42-00-009028,427049,550952
42-00-003201,427070,551371
42-00-003202,427074,551394
42-00-003203,427053,551404
42-00-003204,427043,551419
42-00-003205,427051,551442
44-04-004742,424895,540263
44-04-004743,424907,540286
44-04-004744,424899,540307
44-04-004745,424934,540285
44-04-004746,424954,540265
44-04-004747,424979,540272
44-04-004748,425004,540293
42-05-000048,429992,551363
44-04-004749,424946,540234
42-08-001151,425262,553208
42-08-001088,425881,553359
42-07-000123,425828,554561
47-10-004012,427606,524323
42-01-000056,431105,551671
42-01-000057,431133,551691
42-01-000058,431166,551702
41-10-002543,414629,552141
41-10-002544,414666,552128
41-10-002545,414697,552116
41-10-002546,414729,552100
41-10-002547,414766,552084
41-10-002548,414798,552069
41-10-002549,414833,552057
41-10-002538,414464,552203
41-11-012808,421238,550671
41-11-012809,421234,550685
41-11-005030,416485,552432
41-11-005031,416521,552428
41-11-005032,416547,552433
41-11-005033,416569,552430
41-11-005034,416574,552446
41-11-005035,416596,552452
41-11-005036,416578,552414
47-10-006135,428213,522475
47-10-006136,428220,522448
44-07-003935,427964,544853
44-07-003936,427974,544850
44-07-003663,428172,544796
47-20-002627,425278,535116
42-10-000783,424505,547141
44-10-000876,428871,543220
44-10-000878,428850,543179
44-10-000877,428849,543207
44-10-000879,428798,543203
44-10-000880,428769,543203
41-10-004880,411080,551236
41-10-007235,410274,551884
45-18-002753,441636,549301
43-05-003483,415232,535037
43-05-003437,415219,535010
45-18-002786,441380,549134
45-18-002789,441334,549112
45-18-002792,441264,549081
45-18-002220,442199,549299
47-10-005272,428186,523697
42-05-000222,429711,550395
44-01-000159,423265,543480
41-10-002609,410803,550935
41-10-002610,410832,550927
41-10-002611,410825,550916
45-08-000665,443450,542005
45-08-000666,443467,541977
45-08-000667,443477,541950
45-08-000668,443485,541916
45-08-000669,443507,541889
45-08-000670,443507,541858
45-08-000671,443514,541827
45-08-000672,443517,541798
45-08-000673,443521,541774
45-08-000674,443507,541756
42-08-002671,425626,552075
42-08-002675,425535,552057
42-08-002676,425500,552053
41-11-009202,420761,552622
41-11-009206,420747,552628
41-11-009207,420718,552624
47-10-004034,428445,524547
47-10-004035,428420,524531
47-10-002364,428055,524847
47-10-005660,428188,524695
47-10-004036,428189,524857
47-10-004037,428187,524873
47-10-004038,428212,524862
47-10-004039,428174,524986
47-10-004040,428189,524953
47-10-004014,427641,524655
47-10-004015,427685,524648
47-10-004016,427795,524721
47-10-004017,427882,524673
44-00-003646,427194,544158
47-09-000330,436319,532361
47-09-000331,436312,532338
47-09-000332,436303,532307
47-09-000333,436296,532276
47-09-000334,436281,532254
47-09-000340,436283,532298
47-09-000341,436267,532309
47-10-003526,428477,524523
42-08-002714,425062,552053
42-08-002715,425032,552057
42-08-002716,424998,552060
42-08-002717,424958,552067
42-08-002718,424918,552066
42-08-002719,424892,552085
42-08-002720,424858,552092
42-08-002721,424814,552094
42-08-002722,424782,552095
42-08-002723,424734,552099
42-08-002724,424705,552117
42-08-002725,424675,552136
42-08-002726,424637,552160
42-08-002727,424603,552185
42-08-002728,424569,552206
42-08-002729,424545,552222
42-08-002730,424511,552245
42-08-002731,424478,552269
42-08-002732,424451,552290
42-08-002733,424417,552315
42-08-002734,424385,552338
42-08-002735,424356,552358
42-08-002736,424323,552380
42-08-002737,424296,552399
47-10-004142,426414,525670
42-00-010556,427493,550828
45-10-000643,445429,537558
45-10-000644,445452,537489
41-10-001721,411955,556580
41-10-001722,412004,556564
41-10-001723,412031,556573
41-10-001724,412042,556559
45-12-000551,441785,541765
45-12-000552,441796,541754
45-12-000553,441818,541770
45-12-000554,441838,541769
45-08-001318,444115,540928
45-08-001319,444177,540970
42-00-002134,427529,550423
47-18-000369,425270,526008
47-18-000392,425092,526209
42-03-000250,429134,549725
41-11-006320,416929,551616
42-00-009812,427783,551307
42-00-009813,427802,551321
42-00-009814,427759,551445
42-00-009815,427504,551253
42-00-009816,427614,551678
44-11-000300,432760,544105
45-18-003059,442313,548662
46-00-000701,405403,516423
46-00-000702,405417,516415
46-00-000703,405440,516415
46-00-000695,405387,516866
43-05-005858,416262,534669
43-05-005859,416295,534697
42-03-000503,429257,548891
42-03-000504,429253,548934
42-00-000388,426490,551124
42-00-001413,426462,551031
42-00-001414,426482,551027
42-00-001143,426439,551229
42-01-000029,429968,551447
42-01-000030,429979,551426
44-15-000291,429714,541303
44-06-000150,431555,534795
42-05-000173,431065,550451
42-01-000250,431182,551234
42-01-000379,431222,551136
42-01-000165,431084,550789
42-01-000167,431101,550754
47-20-003650,422270,534222
47-20-003651,422292,534231
47-20-003652,422328,534242
47-20-003653,422338,534235
46-09-000317,416502,528498
41-11-008018,419766,552065
43-01-000821,385646,540643
43-02-000025,401465,550106
44-07-000506,426403,544108
41-10-003918,411135,550845
41-11-000593,416463,552108
47-20-003633,426497,534258
47-20-003634,426563,534279
45-18-002787,441374,549111
41-11-007858,419534,551895
45-05-000987,439843,546987
41-11-008062,419951,552220
44-17-000703,431925,546058
44-07-003732,427843,544531
44-07-003416,427687,545396
42-10-000714,424191,546768
41-07-000099,418752,547799
42-00-001873,427331,552605
42-00-008486,427520,550951
42-00-008487,427805,550900
44-19-000251,423686,546216
44-19-000252,423729,546214
42-00-000460,427018,550671
42-00-008481,427025,550638
42-00-008482,427031,550610
42-00-008483,427036,550587
42-00-008484,427043,550559
46-00-000694,404938,516057
46-12-000152,417053,517222
47-10-004033,428391,524556
42-08-000477,425008,553222
42-08-000478,425021,553284
42-08-000479,424994,553346
42-08-000480,425105,553343
42-08-000481,425115,553324
42-08-000482,425158,553267
42-08-000483,425189,553260
42-08-000493,425280,553342
42-07-000121,425809,554517
42-07-000666,425985,554405
42-06-000545,427301,552790
42-06-000546,427304,552759
42-06-000547,427305,552740
42-06-000549,427265,552707
42-06-000554,427317,552666
42-06-000316,427208,553035
42-06-000317,427261,553079
42-03-000501,429497,548976
42-03-000502,429332,548921
46-00-000690,405048,517167
46-00-000691,405046,517138
46-00-000692,405031,517114
41-10-001324,410817,550960
44-04-004750,424927,540207
42-05-000049,429705,550384
41-11-010213,420319,553889
41-11-004991,416033,552911
47-10-004018,427908,524580
47-10-004019,427761,524637
47-10-004020,427718,524644
42-08-002453,425228,552146
42-08-002454,425228,552190
42-08-002455,425239,552219
42-08-002456,425231,552252
44-04-004727,424825,540399
44-04-004728,424806,540379
44-04-004729,424798,540349
47-08-001467,429057,532953
47-08-001468,429047,532983
44-04-004751,424901,540188
44-04-004752,424882,540161
44-04-004753,424872,540133
44-04-004754,424854,540144
42-01-000031,429988,551445
42-01-000032,430022,551425
42-01-000033,430030,551442
42-01-000034,430077,551430
41-10-002527,414134,552315
41-10-002528,414169,552303
41-10-002529,414204,552290
41-10-002530,414232,552280
41-10-002531,414264,552270
41-10-002536,414419,552216
41-10-002537,414447,552208
41-10-002532,414300,552259
41-10-002533,414332,552247
41-10-002534,414362,552234
41-10-002535,414396,552224
41-10-002539,414495,552193
43-03-015784,420985,528610
43-03-015785,420994,528597
43-03-015786,420991,528564
43-03-015787,421012,528600
43-03-015788,421035,528587
43-03-015789,421043,528574
43-03-015790,421058,528584
41-11-005193,416219,552234
41-06-000311,416863,547228
41-06-000312,416846,547210
41-06-000313,416824,547198
41-06-000314,416807,547177
41-06-000315,416780,547183
41-06-000316,416764,547207
41-06-000317,416740,547217
41-06-000318,416738,547231
41-06-000319,416718,547236
45-15-000510,438975,541331
41-11-009177,420356,552578
41-11-010319,420266,553913
45-12-000564,441834,541701
44-06-001701,431780,535357
44-06-001702,431797,535342
44-06-001706,431756,535262
44-06-001705,431770,535278
43-05-005871,419871,535094
43-04-000222,412102,538640
41-11-009106,420716,552197
41-11-009107,420698,552224
41-11-009108,420699,552202
41-11-009109,420679,552187
41-11-009110,420676,552210
41-11-009121,420764,552175
41-11-009122,420777,552195
41-11-009123,420786,552223
41-11-009124,420784,552233
47-13-000781,435347,529979
44-20-000445,426307,541458
44-20-000446,426271,541555
44-20-000447,426250,541591
44-20-000448,426201,541693
44-20-000449,426150,542034
44-20-000450,426134,542072
44-20-000451,426117,542108
42-15-001300,427793,551694
42-15-002000,426273,548558
41-11-003904,417281,555721
41-11-003905,417288,555741
41-11-003912,417229,555745
41-11-003171,417109,555747
41-11-003163,417108,555729
41-11-003164,417084,555729
41-11-003165,417063,555738
45-12-000399,442265,539608
47-08-001524,429281,532058
47-08-001525,429292,532041
47-08-001526,429325,532028
47-08-001527,429348,532034
47-08-001499,429193,532243
47-08-001500,429207,532245
42-08-005228,424570,552067
42-00-002511,425871,549068
42-00-009681,426089,549058
42-00-009682,426075,549064
45-05-000869,438145,546928
45-18-002863,441431,549160
45-18-002864,441382,549164
45-18-002865,441319,549165
45-18-002866,441402,549202
45-18-002867,441403,549223
45-18-002868,441381,549228
43-03-015630,420301,528338
43-03-015624,420263,528364
43-03-015625,420347,528355
43-03-015622,420333,528392
43-03-015621,420276,528396
43-03-015620,420221,528403
43-03-015619,420161,528407
43-03-015618,420103,528413
43-03-015617,420088,528440
43-03-015636,420282,528196
43-03-015634,420235,528243
43-03-015635,420259,528224
43-03-015637,420327,528193
41-11-008359,419867,553079
43-01-000557,393967,542694
41-11-010561,420341,554377
44-02-000684,430687,544067
45-06-001204,436944,542157
43-05-005616,415202,531299
43-05-005617,415170,531277
43-05-005618,415143,531260
41-11-011044,418584,553796
44-05-001222,430508,538258
44-05-001221,430513,538225
46-27-000187,395044,525134
42-08-000491,425052,553213
42-08-000492,425135,553248
43-03-015752,419583,529065
43-03-015753,419558,529050
43-03-015754,419536,529007
43-03-015755,419520,529030
43-03-015756,419502,529046
43-03-015757,419504,529021
43-03-015758,419484,529019
43-03-015759,419475,529001
43-03-015760,419531,528954
43-03-015761,419527,528933
43-03-015762,419542,528917
45-12-008679,441971,541167
45-12-008680,441979,541186
45-12-008681,441994,541215
42-03-000505,429119,548898
41-11-004992,416065,552905
41-11-009701,420737,553177
47-20-003647,422265,534194
47-20-003648,422351,534224
47-20-003649,422261,534207
45-03-001080,440942,546826
42-03-000476,429864,549491
47-10-004011,427435,526279
44-00-001508,427478,542945
44-00-001507,427502,542959
44-00-001506,427529,542972
44-00-001505,427560,542984
44-00-001504,427585,542973
45-08-000660,443343,542002
45-08-000661,443375,542013
47-10-004066,428505,526540
47-10-005044,427801,522687
45-18-003054,442690,549209
45-05-000820,438582,547217
45-05-000276,438948,547204
47-19-001277,422165,525356
47-10-005966,427038,524373
45-18-002148,440957,548911
46-20-000059,417532,520436
46-20-000060,417544,520460
46-20-000061,417557,520458
46-20-000062,417561,520490
44-04-000108,425804,541429
44-04-000107,425822,541445
44-04-000106,425809,541407
43-03-015642,420378,527687
44-07-004265,427552,545878
43-03-004117,420492,528339
43-03-015633,420240,528292
43-03-015627,420344,528333
43-03-015628,420338,528280
43-03-015629,420295,528286
44-04-004755,424826,540381
44-04-004756,424848,540370
44-04-004757,424863,540350
44-04-004758,424877,540329
45-16-008689,436819,539610
45-16-008690,436831,539574
45-22-002005,437752,545494
45-22-002006,437769,545488
42-03-000051,429509,549263
42-03-000052,429517,549278
41-11-006909,418688,551898
41-06-000320,416712,547255
42-00-010567,426528,551693
42-00-001152,426441,551175
47-10-004047,428547,522568
42-00-008471,427182,550481
42-00-008472,427186,550490
42-00-008473,427108,550470
42-00-008475,427078,550466
42-00-008476,427060,550477
42-00-008477,427065,550449
42-08-002677,425469,552068
42-08-002678,425516,552077
42-08-002679,425475,552101
42-08-002701,425459,551905
42-00-008491,426986,552196
42-00-008492,427005,552203
42-00-001506,426857,552179
42-00-001507,426880,552201
47-20-003635,426584,534297
47-20-003636,426608,534301
47-20-003637,426624,534309
41-11-009550,421652,553218
42-10-000051,423801,548802
42-10-000052,423790,548840
42-10-000053,423781,548871
42-10-000054,423768,548910
41-10-008809,414123,556500
42-02-000116,422126,549954
42-02-000117,422168,549976
42-10-000660,424644,546748
42-08-000506,424289,552843
47-18-001836,425245,525709
47-18-001837,425243,525666
47-18-001838,425240,525625
47-18-001839,425246,525570
42-08-000471,424868,553351
42-08-000472,424904,553346
42-08-000473,424916,553323
42-08-000474,424969,553343
44-04-004730,424778,540332
44-04-004731,424760,540307
44-04-004732,424766,540279
41-10-001328,410849,550997
41-10-001329,410839,551009
41-10-001330,410864,551017
41-10-001331,410852,551024
41-10-001332,410881,551031
41-10-001333,410874,551042
41-10-004786,410913,551826
47-20-003772,426215,531273
47-20-000534,426080,531396
45-20-000601,438389,539281
45-20-000356,438242,539417
47-15-000737,438054,536040
45-19-000181,438053,536229
47-15-000738,438005,535895
47-15-000531,438083,535862
45-08-001303,443333,542052
45-16-000430,435997,538686
43-03-015808,420998,529409
43-03-015809,421005,529383
43-03-015810,421000,529355
43-03-015811,420984,529335
43-03-015812,420989,529311
43-03-015813,420974,529292
43-03-015814,421254,529350
43-03-015815,421249,529325
43-03-015816,421256,529298
43-03-015817,421266,529262
47-20-003710,423895,532188
47-10-006180,428613,520871
46-34-000204,413646,520389
43-03-000066,421164,530152
43-03-000105,421208,530111
41-11-009173,420461,552628
41-11-009174,420438,552610
41-11-009175,420409,552591
41-11-009176,420381,552582
41-11-009102,420808,552127
41-11-009103,420791,552150
41-11-009104,420761,552158
41-11-009105,420741,552184
44-00-003647,427190,544129
42-00-010001,427463,550806
44-00-003648,427187,544097
44-00-003649,427183,544065
44-00-003650,427178,544031
44-00-003651,427174,544001
43-01-000835,387257,538691
44-00-003652,427170,543977
42-05-000251,431054,550248
44-00-003653,427163,543948
42-09-000236,424860,547536
42-09-000237,424829,547528
42-09-000238,424803,547520
42-09-000239,424774,547511
42-03-000506,429037,549163
42-03-001601,429348,549013
45-15-008724,440457,541045
45-15-008725,440479,541052
47-20-000145,426033,534409
47-20-000144,426069,534433
47-20-000143,426086,534470
44-02-000489,429701,542392
47-20-002932,426688,534098
47-20-003705,426861,534030
47-05-000470,430775,534323
47-05-000515,430722,534388
47-05-000471,430792,534443
47-05-000472,430814,534453
47-05-000473,430834,534463
47-05-000516,430811,534377
47-05-000474,430958,534348
47-05-000475,430951,534355
47-05-000317,430845,534167
47-05-000318,430850,534143
47-05-000321,430922,534159
47-05-000320,430901,534144
47-05-000319,430853,534123
47-05-000517,430872,534143
47-20-003745,425566,533130
41-11-000594,416439,552135
41-11-000595,416413,552162
45-18-002149,440965,548932
45-18-002150,440980,548962
45-18-007028,440643,548987
42-00-008969,427089,552137
42-00-008970,427065,552155
42-00-008971,427037,552122
42-00-008879,427222,552230
41-11-005401,416785,552259
41-11-005402,416780,552283
41-11-005408,416785,552312
41-11-005409,416810,552320
41-11-005410,416814,552336
41-11-005411,416801,552359
41-11-005412,416802,552388
41-11-005414,416788,552408
44-04-001900,418410,541830
45-08-000114,444885,540664
45-08-001304,444301,541189
45-08-001305,444309,541165
45-08-001306,444251,541090
45-10-000871,445826,539152
41-11-006306,417531,551334
42-00-008485,427050,550532
42-00-008488,426947,552098
42-00-008490,426962,552169
41-11-006950,418933,551938
41-07-000104,418813,547702
41-07-000105,418766,547696
41-07-000106,418726,547692
41-07-000107,418693,547688
45-18-002704,441813,549438
45-18-002705,441777,549420
45-18-002706,441770,549403
45-18-002707,441793,549393
45-18-002708,441816,549412
45-18-002709,441830,549384
45-18-002710,441803,549370
45-18-002711,441794,549352
45-18-002712,441818,549340
45-18-002713,441841,549360
45-18-002714,441801,549324
45-18-002715,441786,549334
45-18-002869,441355,549216
45-18-002834,441651,549385
45-18-002700,441870,549355
45-12-008713,443300,540721
45-12-002541,443119,540835
45-12-008714,443150,540816
45-12-004240,443262,540808
43-01-000832,399399,539537
43-01-000833,399346,539543
47-04-000705,428603,529904
41-05-000030,416206,540584
41-05-000031,416235,540591
41-11-010431,420062,554123
41-11-010433,420023,554172
47-10-004041,427258,527058
43-05-000232,414034,534447
43-05-000233,414054,534426
43-05-001340,414077,534404
43-05-005868,421031,534960
41-02-001179,421600,544737
41-02-001180,421605,544726
47-19-003742,422542,526677
47-19-003743,422521,526683
44-02-000715,430658,544079
41-02-001178,421600,544763
41-11-009205,420779,552618
41-11-009204,420775,552594
41-10-001334,410902,551038
41-10-001335,410899,551053
45-05-005547,439724,546847
45-05-005548,439601,547076
47-10-004053,428296,526229
47-10-004052,428174,526202
47-19-000739,423419,525398
42-03-000065,428990,549128
42-03-000044,429949,549234
42-03-000045,429971,549210
42-03-000047,429980,549146
47-19-000366,423325,527777
43-03-004931,424099,529522
43-03-002628,424299,529673
45-06-000149,437560,543010
47-10-004054,428085,526455
41-10-002540,414525,552178
41-10-002541,414563,552168
47-20-001815,425390,533393
47-20-003721,425417,533411
47-20-003722,425200,533416
47-20-003723,425201,533320
47-20-003724,425030,533066
47-20-001418,425356,533709
47-20-000373,425436,533544
47-20-000370,425488,533591
47-20-000371,425483,533572
47-20-000372,425457,533561
47-20-003725,425438,533605
47-20-003726,425327,533539
47-20-003727,425399,533647
47-20-003728,424298,532494
47-08-001472,428236,532524
47-09-000281,436766,531875
42-12-000239,422697,552612
42-12-000011,422044,553837
42-12-000012,422028,553850
42-12-000013,422051,553860
42-12-000015,422035,553891
44-10-001432,428963,542881
44-10-001433,428938,542878
41-11-000597,416372,552205
45-08-000858,445850,539139
45-08-000859,445877,539135
45-08-000860,445903,539140
45-08-000861,445922,539147
45-08-000862,445937,539154
45-08-000863,445924,539166
42-09-000271,424744,547501
42-09-000272,424717,547491
42-09-000273,424688,547482
42-09-000274,424660,547473
42-09-000275,424628,547462
42-09-000276,424609,547437
43-03-015827,424153,529958
43-03-015828,418548,526947
44-15-000237,428984,540826
47-20-003789,425427,533423
42-08-002738,424269,552417
42-08-002739,424243,552445
42-08-002451,425205,552075
42-08-002452,425215,552111
47-10-006141,428234,522411
47-10-006142,428233,522383
47-10-006143,428260,522366
47-10-006144,428284,522376
45-22-000102,437665,545569
45-22-000215,438947,545054
45-05-000742,439400,547194
45-05-000830,439155,547308
47-10-004050,426528,524969
47-10-003530,428378,526236
42-00-001508,426902,552225
42-00-001509,426923,552248
42-08-000166,424067,553062
42-08-000167,424026,553116
42-08-001201,424021,553124
42-00-009679,426068,549073
42-00-009680,426108,549069
42-08-000773,423538,552059
43-05-005855,419088,534438
42-06-000198,426547,552985
43-03-003102,418433,526393
45-19-000182,437934,536643
45-19-000183,437972,536579
44-05-002064,434710,538421
44-04-000500,424963,538726
43-01-000279,389015,537911
43-01-000278,389065,537911
43-01-000277,389111,537910
47-19-002023,422628,526340
44-06-001636,432206,535341
44-06-001637,432212,535365
44-06-001638,432208,535390
44-06-001628,432136,535386
44-06-001629,432158,535385
43-05-005861,419632,535350
45-08-001301,443508,541912
45-12-001520,441702,541495
43-03-015638,420329,528172
45-17-000991,440383,538037
45-17-000990,440392,538022
45-17-000989,440399,538044
45-17-000988,440397,538068
45-17-000987,440395,538097
45-17-000986,440403,538103
45-17-000985,440380,538110
45-17-000977,440351,538098
45-17-000976,440327,538106
45-17-000978,440367,538117
45-17-000979,440366,538135
45-17-000980,440364,538158
45-17-000981,440361,538182
45-17-000982,440372,538173
45-17-000983,440390,538176
45-17-000984,440384,538157
44-05-001017,430755,538759
43-03-004599,419304,528146
44-00-001370,427928,542820
43-03-000631,419433,528881
44-00-001515,427377,542787
44-00-001509,427453,542930
44-00-001510,427432,542914
44-00-001511,427415,542888
45-12-008682,441996,541239
45-12-008683,442015,541264
45-12-008684,442034,541254
45-12-008685,442056,541261
42-00-009789,427158,551874
47-19-003715,423194,526350
47-19-003716,423194,526363
44-02-000301,429631,543733
44-02-000302,429649,543716
44-02-000303,429680,543722
44-02-000304,429709,543720
44-02-000305,429735,543719
44-02-000306,429759,543706
42-00-009591,425911,549811
